№ строки	Название объекта	Адрес	Округ	Район	Общая площадь__кв.м	Привязан к стационарному объекту	Наименование хозяйствующего субъекта
776	Сезонное кафе	ул. Крылатские Холмы 7 к. 2	ЗАО	Крылатское	240.0	Брассери ИНк	Брассери Инк
777	Сезонное кафе	ул. Арбат 32	ЦАО	Арбат	41.0	ВЛАСТА - 31	ВЛАСТА-31
778	Сезонное кафе	ул. Новый Арбат 28	ЦАО	Арбат	118.0	ДЕНДИ КАФЕ	ИММОБИЛИАРЕ
779	Сезонное кафе	Краснопресненская наб. 14А	ЦАО	Пресненский	100.0	ГАРЕМ"	КОМПИТ
780	Сезонное кафе	Кутузовский просп. 4/2	ЗАО	Дорогомилово	659.0	ПИНОККИО	КУТУЗОВСКИЙ 4
781	Сезонное кафе	Лыщиков пер. 5 с. 1	ЦАО	Таганский	70.0	Бари	Шаде
782	Сезонное кафе	ул. Новый Арбат 19	ЦАО	Арбат	72.0	Честерфилд	Беруджанян Рипсимэ Рудольфович
783	Сезонное кафе	ул. Новый Арбат 21	ЦАО	Арбат	43.0	21 Прайм	ХАЙЛЕНД ГРУПП
784	Сезонное кафе	ул. Новый Арбат 21	ЦАО	Арбат	80.0	ПАРНАС	ПАРНАС
785	Сезонное кафе	ул. Новый Арбат 15	ЦАО	Арбат	48.0	РУС БУРГЕР	РУС БУРГЕР
786	Сезонное кафе	ул. Арбат 1	ЦАО	Арбат	36.0	"Галерея Алекс"	АСТЕРОИД
787	Сезонное кафе	ул. Новый Арбат 19	ЦАО	Арбат	65.1	Две палочки	СЕРПУХОВСКАЯ
788	Сезонное кафе	ул. Новый Арбат 17	ЦАО	Арбат	50.0	ЭКЛЕ	ТОРГОВЫЙ ДОМ "АГАТИС"
789	Сезонное кафе	ул. Новый Арбат 15	ЦАО	Арбат	60.0	КАФЕ ОМ	АВАНСТАТУС
790	Сезонное кафе	ул. Новый Арбат 17	ЦАО	Арбат	12.0	КОФЕ ХАУС ЭКСПРЕССО И КАПУЧИНО БАР	КОФЕ ХАУС. ЭСПРЕССО И КАПУЧИНО БАР
791	Сезонное кафе	ул. Новый Арбат 15	ЦАО	Арбат	90.0	ЧИЛИЗ ГРИЛЬ и БАР	Трио
792	Сезонное кафе	ул. Новый Арбат 17	ЦАО	Арбат	80.0	ЗЮ	ЗЮ-ЗЮ
793	Сезонное кафе	Арбатская пл. 14 с. 1	ЦАО	Арбат	265.0	-	АНДРИАНОВ АЛЕКСАНДР АЛЕКСЕЕВИЧ
794	Сезонное кафе	ул. Новый Арбат 17	ЦАО	Арбат	60.0	ЭТАЖ	РИСОНТ
795	Сезонное кафе	ул. Арбат 1	ЦАО	Арбат	72.0	кафе "Кофе Хаус"	Кафе Хаус,Экспрессо и Капучино Бар
796	Сезонное кафе	ул. Арбат 1	ЦАО	Арбат	36.0	Кофешоп	ТОЗЗО
797	Сезонное кафе	ул. Новый Арбат 17	ЦАО	Арбат	60.0	Данкин Донатс	ДОНАТС ПРОДЖЕКТ
798	Сезонное кафе	ул. Новый Арбат 17	ЦАО	Арбат	40.0	ГЛОБОСУШИ	ВАНИЛЬ
799	Сезонное кафе	Большой Кисловский пер. 1 с. 2	ЦАО	Арбат	60.0	ХРАМ ЛУНЫ"	ХЭППИ ЧОЙС
800	Сезонное кафе	ул. Солянка	ЦАО	Таганский	80.0	Пронто	ПАРТНЕР
801	Сезонное кафе	Никитский бульв. 8-А/3 с. 1	ЦАО	Пресненский	50.0	Лазурит	Лазурит
802	Сезонное кафе	Никитский бульв. 8-А/3 с. 1	ЦАО	Пресненский	50.0	СОЮЗ ЖУРНАЛИСТОВ РОССИИ	СОЮЗ ЖУРНАЛИСТОВ РОССИИ
803	Сезонное кафе	Красная пл. 3	ЦАО	Тверской	133.0	БОСКО БАР	РЕСТОРАЦИЯ БОСКО
804	Сезонное кафе	Никитский бульв. 7	ЦАО	Арбат	90.0	ДИОСКУРИЯ	ТД ФЕНИКС
805	Сезонное кафе	Волочаевская ул. 5 к. 1	ЮВАО	Лефортово	20.0	-	СУШКОВА НАТАЛЬЯ ЛЕОНИДОВНА
806	Сезонное кафе	Красная пл. 3	ЦАО	Тверской	130.0	БОСКО КАФЕ	РЕСТОРАЦИЯ БОСКО
807	Сезонное кафе	Манежная пл. 1 с. 2	ЦАО	Тверской	315.0	СБАРРО	БРАЗЕРС И КОМПАНИЯ
808	Сезонное кафе	Авиамоторная ул. 10	ЮВАО	Лефортово	30.0	-	ИРМ-1
809	Сезонное кафе	Манежная пл. 1 с. 2	ЦАО	Тверской	90.0	Макдоналдс	Макдональдс-Москва
810	Сезонное кафе	Никитский бульв. 12	ЦАО	Пресненский	24.0	Дон Джон	ЛОРД
811	Сезонное кафе	ул. Нижние Мнёвники 41 к. 1	СЗАО	Хорошево-Мневники	80.0	ЕРМАК	КОМПАНИЯ "АКВАТОРИЯ"
812	Сезонное кафе	Никитский бульв. 12	ЦАО	Пресненский	50.0	Жан-Жак	РЕСТРО
813	Сезонное кафе	Манежная пл. 1 с. 2	ЦАО	Тверской	160.0	Планета Суши	РОСИНТЕР РЕСТОРАНС
814	Сезонное кафе	Никитский бульв. 12	ЦАО	Пресненский	40.0	КАПУЧИНО	АРТ-КАФЕ "КАПУЧИНО"
815	Сезонное кафе	Никольская ул. 5/1 с. 3	ЦАО	Тверской	34.0	ДРОВА	ИСТОК-4
816	Сезонное кафе	Красноказарменная ул. 12 с. 1	ЮВАО	Лефортово	60.0	-	МОНА
817	Сезонное кафе	Рочдельская ул. 11/5	ЦАО	Пресненский	50.0	Донна Маргарита	Апулия
818	Сезонное кафе	Средний Кисловский пер. 5/6 с. 3	ЦАО	Пресненский	50.0	КАФЕ - КЛУБ "ПОДМОСКОВЬЕ"	РЕСПЕКТ
819	Сезонное кафе	Мантулинская ул. 5 с. 1	ЦАО	Пресненский	100.0	КАФЕ-ЧАЙХАНА "СОКРОВИЩА ШЕЙХА"	ЕВРОЛОТ
820	Сезонное кафе	Рочдельская ул. 15 с. 27	ЦАО	Пресненский	40.0	БОЧКА	ПУШКИН
821	Сезонное кафе	Рочдельская ул. 15 с. 43	ЦАО	Пресненский	50.0	Димер	АБАЙ
822	Сезонное кафе	Большой Каретный пер. 6	ЦАО	Тверской	60.0	ПЕППИНО"	МАРИЯ
823	Сезонное кафе	ул. Каретный Ряд 3 с. 15А	ЦАО	Тверской	20.0	КАПИТАЛКОМ	КАПИТАЛКОМ
824	Сезонное кафе	ул. Каретный Ряд 3 с. 7	ЦАО	Тверской	60.0	ПАРИЖСКАЯ ЖИЗНЬ	АРТ-ПРОДАКШН
825	Сезонное кафе	2-я Тверская-Ямская ул. 2	ЦАО	Тверской	30.0	КОФЕ ИН	М-ПЛЮС
826	Сезонное кафе	ул. Каретный Ряд 3 с. 1	ЦАО	Тверской	60.0	СОБРАНИЕ	МОСКОВСКИЙ ДЕЛОВОЙ КЛУБ
827	Сезонное кафе	Садовая-Триумфальная ул. 10/13 с. 1	ЦАО	Тверской	40.0	МЕТРО	РАЙН
828	Сезонное кафе	Оружейный пер. 3 с. 1	ЦАО	Тверской	30.0	РЕСТОРАН	ЛАНТАН
829	Сезонное кафе	Оружейный пер. 3 с. 1	ЦАО	Тверской	30.0	РЕСТОРАН	ЛАНТАН
830	Сезонное кафе	Садовая-Триумфальная ул. 4-10	ЦАО	Тверской	50.0	ЭЛЬ ГАУЧО	ОРИЕНТ
831	Сезонное кафе	Большая Грузинская ул. 57 с. 1	ЦАО	Пресненский	50.0	КОФЕЙНЯ "ШАНТИЛЬ"	ТЕХГАРАНТ XXI
832	Сезонное кафе	Крылатская ул. 33 к. 1	ЗАО	Крылатское	50.0	СТОЙКА БАР	СИЯНИЕ О
833	Сезонное кафе	Садовая-Триумфальная ул. 10/13 с. 1	ЦАО	Тверской	30.0	МЕТРО	РАЙН
834	Сезонное кафе	Ладожская ул. 2/37	ЦАО	Басманный	70.0	Гранит	ГРАНИТ
835	Сезонное кафе	Большая Грузинская ул. 57 с. 1	ЦАО	Пресненский	50.0	Шантиль	МАРС
836	Сезонное кафе	2-я Тверская-Ямская ул. 6	ЦАО	Тверской	30.0	Тверская Ямская	Тверская-Ямская
837	Сезонное кафе	ул. Малая Дмитровка 18 с. 1	ЦАО	Тверской	60.0	СТАРИНА МЮЛЛЕР	ГОСТЕПРИИМНЫЙ МЕКСИКАНЕЦ
838	Сезонное кафе	Большая Грузинская ул. 56	ЦАО	Пресненский	40.0	Гамбери	Гамба
839	Сезонное кафе	1-я Тверская-Ямская ул. 4	ЦАО	Тверской	20.0	МОН КАФЕ	ФАРМАТРАСТ
840	Сезонное кафе	Ладожская ул. 4/6 с. 4	ЦАО	Басманный	20.0	ГАЛЕРЕЯ -АЛЕКС"	Галерея - АЛЕКС
841	Сезонное кафе	1-я Тверская-Ямская ул. 7	ЦАО	Тверской	30.0	МИПЬЯЧЕ	МАЯКОВКА
842	Сезонное кафе	ул. Сретенка 27 с. 1	ЦАО	Мещанский	42.6	ТД "ВОЛКОНСКИЙ"	Торговый дом "Волконский"
843	Сезонное кафе	ул. Сретенка 27 с. 1	ЦАО	Мещанский	85.10000000000001	РБ-Вереск	РБ -Вереск
844	Сезонное кафе	Садовая-Триумфальная ул. 18-20	ЦАО	Тверской	60.0	МАКИ МАКИ	Эльза
845	Сезонное кафе	Оружейный пер. 13 с. 1	ЦАО	Тверской	40.0	ТАН	РОГ ИЗОБИЛИЯ
846	Сезонное кафе	1-я Тверская-Ямская ул. 7	ЦАО	Тверской	30.0	Якитория	Сэйвори
847	Сезонное кафе	Спиридоньевский пер. 9 с. 1	ЦАО	Пресненский	50.0	ДОН ПЕДРО"	НОВА
848	Сезонное кафе	Малый Гнездниковский пер. 12	ЦАО	Тверской	100.0	ВЕРСАЙ	ВИМ-БЕНЕФИТ
849	Сезонное кафе	Осенняя ул. 11	ЗАО	Крылатское	50.0	ресторан "КИНКИ"	Азарика
850	Сезонное кафе	Тверской бульв. 24 с. 1	ЦАО	Пресненский	100.0	Рокс	РОКС
851	Сезонное кафе	ул. Кузнецкий Мост 21/5	ЦАО	Мещанский	56.300000000000004	БРАУ	БРАУ
852	Сезонное кафе	ул. Красная Пресня 31	ЦАО	Пресненский	100.0	МАКДОНАЛДС"	Макдональдс
853	Сезонное кафе	Неглинная ул. 15 с. 1	ЦАО	Тверской	20.0	ФУДЗИ-САН	ВЕЛЛИНГ
854	Сезонное кафе	Садовая-Кудринская ул. 22 с. 1	ЦАО	Пресненский	50.0	РИС И РЫБА	ПЛИД-1
855	Сезонное кафе	ул. Большая Дмитровка 15	ЦАО	Тверской	60.0	ЭСТЭН	ЭСТЭН
856	Сезонное кафе	Верхняя Сыромятническая ул. 7 с. 10	ЦАО	Басманный	120.0	Джин	ЭЛИСОН
857	Сезонное кафе	Столешников пер. 7 с. 1	ЦАО	Тверской	40.0	Шайк Бар	Асти
858	Сезонное кафе	Малая Бронная ул. 22 с. 1	ЦАО	Пресненский	50.0	Гранд Крю	АЛЬЯНИКО
859	Сезонное кафе	Звенигородское шоссе 1 С. 2	ЦАО	Пресненский	40.0	ПРЕСС-КЛАБ	ПРЕСС-КЛАБ
860	Сезонное кафе	Мясницкая ул. 24/7 с. 8	ЦАО	Басманный	80.0	-	ИНКА
861	Сезонное кафе	Большая Грузинская ул. 1 с. 1	ЦАО	Пресненский	50.0	Дионис	ДИОНИС
862	Сезонное кафе	шоссе Энтузиастов 66/1	ВАО	Перово	80.0	"НЬОККИ"	РДД
863	Сезонное кафе	Столешников пер. 9 с. 3	ЦАО	Тверской	40.0	Шайк Бар	Асти
864	Сезонное кафе	ул. Петровка 11	ЦАО	Тверской	40.0	ПОЛО-КЛАБ"	ГОСТИНИЦА "АВРОРА-ЛЮКС"
865	Сезонное кафе	Столешников пер. 11	ЦАО	Тверской	60.0	ПРЕССКАФЕ	МФ "ПРЕСС-КАФЕ"
866	Сезонное кафе	шоссе Энтузиастов 33А	ВАО	Перово	400.0	ФИЗИКА	Компания три девятки-999
867	Сезонное кафе	Мантулинская ул. 10	ЦАО	Пресненский	100.0	РИВЕРСАЙД	АЭРОПЛЮС ГРУПП ИНТЕРНЕЙШНЛ
868	Сезонное кафе	Большой Спасоглинищевский пер. 3 с. 5	ЦАО	Басманный	150.0	Царица Тамара	ЦАРИЦА ТАМАР
869	Сезонное кафе	Большая Никитская ул. 13	ЦАО	Пресненский	50.0	ФИЛИАЛ +"	ФИЛИАЛ +
870	Сезонное кафе	Рочдельская ул. 15 с. 1	ЦАО	Пресненский	50.0	Донна Маргарита	Апулия
871	Сезонное кафе	Шмитовский пр. 23 с. 4	ЦАО	Пресненский	80.0	НАВАРРОС"	НАВАРРОС РЕСТОРАНТС
872	Сезонное кафе	Большая Никитская ул. 14/2 с. 7	ЦАО	Пресненский	50.0	ВИНОТЕКА-ПРОСТЫЕ ВЕЩИ	ВИНОТЕКА - ПРОСТЫЕ ВЕЩИ
873	Сезонное кафе	Авиамоторная ул. 33	ЮВАО	Лефортово	60.0	-	КОМБИНАТ ПИТАНИЯ "АЛЬФ".
874	Сезонное кафе	Столовый пер. 11 с. 2	ЦАО	Пресненский	100.0	Эксклюзив	ЭКСКЛЮЗИВ
875	Сезонное кафе	Театральная пл. 5 с. 2	ЦАО	Тверской	300.0	СТАРАЯ БАШНЯ	ОРИОН ПРЕМЬЕР
876	Сезонное кафе	Большая Никитская ул. 35	ЦАО	Пресненский	40.0	Лавка и кафе студии Лебедева	Моршнев К.В.
877	Сезонное кафе	ул. Маросейка 6-8 с. 1	ЦАО	Басманный	40.0	ЭТАЖ	РИСОНТ
878	Сезонное кафе	Большая Никитская ул. 23/14/9	ЦАО	Пресненский	50.0	У НИКИТСКИХ ВОРОТ"	ФИРМА ОБЩЕСТВЕННОГО ПИТАНИЯ "У НИКИТСКИХ ВОРОТ"
879	Сезонное кафе	Театральная пл. 5 с. 3	ЦАО	Тверской	100.0	СТАРАЯ БАШНЯ	ОРИОН ПРЕМЬЕР
880	Сезонное кафе	ул. Земляной Вал 33	ЦАО	Басманный	115.0	ФРАЙДИС	РОСИНТЕР РЕСТОРАНТС
881	Сезонное кафе	ул. Сталеваров 3Л	ВАО	Ивановское	200.0	Мой двор	ЛАФ
882	Сезонное кафе	Новинский бульв. 28/35 с. 1А	ЦАО	Арбат	3.0	ШОКОЛАДНИЦА	Галерея - АЛЕКС
883	Сезонное кафе	Старосадский пер. 5/8 с. 6	ЦАО	Басманный	100.0	ДВЕ ТЫСЯЧИ	ЗАПАСНИК
884	Сезонное кафе	Новинский бульв. 31	ЦАО	Пресненский	70.0	Бригос	БРИГОС
885	Сезонное кафе	Шмитовский пр. 16 с. 2	ЦАО	Пресненский	50.0	Персоналити	Персоналити
886	Сезонное кафе	ул. Охотный Ряд 2	ЦАО	Тверской	200.0	-	АНДРИАНОВ АЛЕКСАНДР АЛЕКСЕЕВИЧ
887	Сезонное кафе	Поварская ул. 52/55 с. 1	ЦАО	Пресненский	100.0	КАРЕТНЫЙ ДВОР"	НАРОДНЫЙ МОТИВ
888	Сезонное кафе	Поварская ул. 52/55 с. 2	ЦАО	Пресненский	50.0	СТАРЫЙ ФАЭТОН"	СТАРЫЙ ФАЭТОН
889	Сезонное кафе	Поварская ул. 52/55 с. 1	ЦАО	Пресненский	50.0	КАРЕТНЫЙ ДВОР"	НАРОДНЫЙ МОТИВ
890	Сезонное кафе	ул. Земляной Вал 33	ЦАО	Басманный	180.0	-	АНДРИАНОВ АЛЕКСАНДР АЛЕКСЕЕВИЧ
891	Сезонное кафе	ул. Земляной Вал 33	ЦАО	Басманный	380.0	Матильда	Атриум кафе
892	Сезонное кафе	Поварская ул. 52/55 с. 1	ЦАО	Пресненский	50.0	СТАРЫЙ ФАЭТОН"	СТАРЫЙ ФАЭТОН
893	Сезонное кафе	Тверская ул. 5/6	ЦАО	Тверской	30.0	МЕКСИКАНСКАЯ КУХНЯ	ДЕШУС
894	Сезонное кафе	Газетный пер. 9 с. 2	ЦАО	Пресненский	50.0	ЛИВОРНО"	ЛИВОРНО
895	Сезонное кафе	Осенний бульв. 9	ЗАО	Крылатское	90.0	"Две Палочки"	СЕРПУХОВСКАЯ
896	Сезонное кафе	Кудринская пл. 46/54 с. 1	ЦАО	Пресненский	50.0	КОФЕМАНИЯ"	Азарика
897	Сезонное кафе	Тверской бульв. 3 С. 1	ЦАО	Пресненский	100.0	ПАЛАЦЦО ДУКАЛЕ"	ХУРОН
898	Сезонное кафе	Никольская ул. 10	ЦАО	Тверской	100.0	-	АНДРИАНОВ АЛЕКСАНДР АЛЕКСЕЕВИЧ
899	Сезонное кафе	Лубянский пр. 7 с. 1	ЦАО	Басманный	75.0	-	ИНКА
900	Сезонное кафе	Красноказарменная ул. 6	ЮВАО	Лефортово	60.0	-	СУШКОВА НАТАЛЬЯ ЛЕОНИДОВНА
901	Сезонное кафе	ул. Олеко Дундича 3	ЗАО	Филевский парк	40.0	Вермишелев	Вермишелев
902	Сезонное кафе	Большая Никитская ул. 58	ЦАО	Пресненский	50.0	КАФЕ	Союз
903	Сезонное кафе	Большая Никитская ул. 60 с. 1	ЦАО	Пресненский	25.0	РЕСТОРАННЫЙ СИНДИКАТ	РЕСТОРАННЫЙ СИНДИКАТ
904	Сезонное кафе	Никольская ул. 19-21/1	ЦАО	Тверской	332.0	-	СУШКОВА НАТАЛЬЯ ЛЕОНИДОВНА
905	Сезонное кафе	ул. Трёхгорный Вал 5	ЦАО	Пресненский	100.0	BlancCafe	ФАВОРИТ -М
906	Сезонное кафе	Газетный пер. 17	ЦАО	Тверской	60.0	МОСКВА - МАКДОНАЛДС	МОСКВА- МАКДОНАЛДС
907	Сезонное кафе	ул. Покровка 10 с. 2	ЦАО	Басманный	55.0	-	ИНКА
908	Сезонное кафе	ул. Покровка 18/18 с. 3	ЦАО	Басманный	50.0	-	ИНКА
909	Сезонное кафе	Баррикадная ул. 2/1 с. 1	ЦАО	Пресненский	50.0	У ШВЕЙКА"	ПРОДТЕХСНАБ
910	Сезонное кафе	шоссе Энтузиастов 50	ВАО	Перово	48.300000000000004	РЕСТОРАН "ТАНУКИ"	ЭЛИТКОМ
911	Сезонное кафе	Камергерский пер. 2	ЦАО	Тверской	60.0	АКАДЕМИЯ	Трентино
912	Сезонное кафе	Шмитовский пр. 10/7	ЦАО	Пресненский	50.0	Замок Мефисто	ПИНТА
913	Сезонное кафе	Дружинниковская ул. 15	ЦАО	Пресненский	50.0	КИНОАФИША	ЛУНА-ТРЕЙД МЕНЕДЖМЕНТ
914	Сезонное кафе	Бауманская ул. 58А	ЦАО	Басманный	120.0	-	ИНКА
915	Сезонное кафе	Дружинниковская ул. 15	ЦАО	Пресненский	50.0	Капитал Инк	КАПИТАЛИНК
916	Сезонное кафе	Верхняя Сыромятническая ул. 9 с. 1	ЦАО	Басманный	90.0	Гладиатор	БАРКО
917	Сезонное кафе	Тверская ул. 6 с. 1	ЦАО	Тверской	40.0	ГИН-НО-ТАКИ	ТВЕРСКОЕ КХ
918	Сезонное кафе	ул. Покровка 26/1 с. 2	ЦАО	Басманный	120.0	ЯПОШКА	Япошка-сити
919	Сезонное кафе	Камергерский пер. 3 с. 1	ЦАО	Тверской	60.0	КАМЕРТОН	ЭКСПО-ТРЭВЕЛ
920	Сезонное кафе	ул. Большая Дмитровка 5/6 с. 3	ЦАО	Тверской	40.0	Старбакс	КОФЕ СИРЕНА
921	Сезонное кафе	Конюшковская ул. 32	ЦАО	Пресненский	30.0	Кольцо Трейд	Кольцо-Трейд
922	Сезонное кафе	ул. Большая Дмитровка 5/6 с. 3	ЦАО	Тверской	40.0	Старбакс	КОФЕ СИРЕНА
923	Сезонное кафе	ул. Большая Дмитровка 5/6 с. 3	ЦАО	Тверской	40.0	Шекспир	САНРАЙЗ
924	Сезонное кафе	ул. Большая Дмитровка 5/6 с. 3	ЦАО	Тверской	40.0	Шекспир	САНРАЙЗ
925	Сезонное кафе	ул. Большая Дмитровка 7/5 с. 1	ЦАО	Тверской	50.0	КОФЕ ИН	М-ПЛЮС
926	Сезонное кафе	ул. Большая Дмитровка 5/6 с. 3	ЦАО	Тверской	40.0	Старбакс	КОФЕ СИРЕНА
927	Сезонное кафе	Малая Бронная ул. 8 с. 1	ЦАО	Пресненский	50.0	Аист	ПРАЙМС
928	Сезонное кафе	Садовая-Кудринская ул. 6 с. 1	ЦАО	Пресненский	100.0	Дом Карло	ВАН" ресторан "SAN-TRE"
929	Сезонное кафе	ул. Большая Дмитровка 7/5 с. 1	ЦАО	Тверской	50.0	Иль Патио,Планета Суши	Камергерка
930	Сезонное кафе	Красногвардейский бульв. 9	ЦАО	Пресненский	50.0	Эльбрус	Эльбрус
931	Сезонное кафе	ул. Большая Дмитровка 5/6 с. 3	ЦАО	Тверской	40.0	КОФЕЙНЯ КАМЕРГЕРСКИЙ"	КОФЕЙНЯ КАМЕРГЕРСКИЙ
932	Сезонное кафе	ул. Большая Дмитровка 5/6 с. 4	ЦАО	Тверской	40.0	ДРЕВНИЙ КИТАЙ	ФИРМА "САНЬ ХУАНЬ-М"
933	Сезонное кафе	Конюшковская ул. 31 с. 1	ЦАО	Пресненский	100.0	СИМ-СИМ"	СИМ-СИМ
934	Сезонное кафе	ул. Большая Дмитровка 5/6 с. 4	ЦАО	Тверской	40.0	ДРЕВНИЙ КИТАЙ	ФИРМА "САНЬ ХУАНЬ-М"
935	Сезонное кафе	ул. Покровка 28 с. 3	ЦАО	Басманный	100.0	Френдис	БЕНТЛЕЙ
936	Сезонное кафе	Малая Бронная ул. 13	ЦАО	Пресненский	50.0	РУСЕВРОПРОДУКТ	РУСЕВРОПРОДУКТ
937	Сезонное кафе	Садовая-Спасская ул. 24	ЦАО	Красносельский	273.0	НА МЕЛЬНИЦЕ	Ридженси Сервисез
938	Сезонное кафе	Цветной бульв. 7 с. 1	ЦАО	Тверской	40.0	МАШТОЦ"	МАШТОЦ
939	Сезонное кафе	Цветной бульв. 7 с. 1	ЦАО	Тверской	40.0	ДЕ АЛЬКОР	ДЕ АЛЬКОР
940	Сезонное кафе	ул. Сретенка 22/1 с. 1	ЦАО	Красносельский	1054.0	Simple Pleasures	Бар Симпл
941	Сезонное кафе	Новая Басманная ул. 9 с. 1	ЦАО	Красносельский	182.0	Кони А.Ф.	АРДЕКС КЛАБ
942	Сезонное кафе	Крылатская ул. 33 к. 3	ЗАО	Крылатское	150.0	Кафе. Пиццерия.	СЕВЕРО-КРЫЛАТСКИЙ ТОРГОВЫЙ ДОМ
943	Сезонное кафе	Старопименовский пер. 11 с. 11	ЦАО	Тверской	50.0	ЛОКОН-МАКС	ЛОКОН-МАКС
944	Сезонное кафе	ул. Демьяна Бедного 4	СЗАО	Хорошево-Мневники	80.0	АЗЕРБАЙДЖАН	ОПТИМАЛ
945	Сезонное кафе	Садовая-Триумфальная ул. 2 с. 2	ЦАО	Тверской	60.0	БАВАРИУС	МАРИМАН
946	Сезонное кафе	Новая Басманная ул. 23А с. 4	ЦАО	Красносельский	394.7	Лунный дворик	ФОРТУНА-М
947	Сезонное кафе	Цветной бульв. 11 с. 2	ЦАО	Тверской	30.0	Грабли	Гастрономическая Академия Рожниковского
948	Сезонное кафе	1-я Тверская-Ямская ул. 2 с. 1	ЦАО	Тверской	30.0	ПЛАНЕТА СУШИ	РОСИНТЕР РЕСТОРАНТС
949	Сезонное кафе	1-я Тверская-Ямская ул. 2 с. 1	ЦАО	Тверской	30.0	АМЕРИКАНСКИЙ БАР	РОСИНТЕР РЕСТОРАНТС
950	Сезонное кафе	Цветной бульв. 11 с. 2	ЦАО	Тверской	30.0	Chokkolatta	Латта Фуд
951	Сезонное кафе	Каланчёвская ул. 11 с. 1	ЦАО	Красносельский	40.0	МГМ-Трейдинг	МГМ-Трейдинг
952	Сезонное кафе	Цветной бульв. 13	ЦАО	Тверской	30.0	ШОКОЛАДНИЦА	ФармИнКо
953	Сезонное кафе	Новая Басманная ул. 9 с. 6	ЦАО	Красносельский	251.0	Шашлычная №1	Шашлычная №1
954	Сезонное кафе	Цветной бульв. 20/1	ЦАО	Мещанский	25.0	Люксор	Люксор
955	Сезонное кафе	Орликов пер. 3 с. 1	ЦАО	Красносельский	1197.0	Кино-Плов	ДОМИНО-ТРАСТ
956	Сезонное кафе	ул. Большая Дмитровка 11 с. 1	ЦАО	Тверской	40.0	Шашлыкофф	Кебаб
957	Сезонное кафе	ул. Кузнецкий Мост 11 с. 1	ЦАО	Мещанский	27.36	Здоровое питание	ЗДОРОВОЕ ПИТАНИЕ
958	Сезонное кафе	ул. Казакова 8	ЦАО	Басманный	150.0	Шашлычок	ЛИНКОЛЬН-ЭЛИТ
959	Сезонное кафе	Столешников пер. 6 с. 1	ЦАО	Тверской	40.0	СЭЙЛИ"	СЭЙЛИ
960	Сезонное кафе	наб. Академика Туполева 15 к. 26	ЦАО	Басманный	75.0	ФИКРОШ	ФИКРОШ
961	Сезонное кафе	ул. Красная Пресня 25 с. 1	ЦАО	Пресненский	50.0	Мир пиццы	Касса и Ко
962	Сезонное кафе	Зелёный просп. 83	ВАО	Новогиреево	87.0	ЯПОША	Япошка-сити
963	Сезонное кафе	ул. Воздвиженка 9	ЦАО	Арбат	100.0	ШОКОЛАДНИЦА - ГАЛЕРЕЯ - АЛЕКС	Галерея - АЛЕКС
964	Сезонное кафе	ул. Варварка 14 с. 1	ЦАО	Тверской	50.0	ВАРВАРКА	ВАРВАРКА
965	Сезонное кафе	Лубянский пр. 15 с. 2	ЦАО	Басманный	150.0	Милли	Клуб любителей творчества Ильфа и Петрова
966	Сезонное кафе	ул. Новый Арбат 28	ЦАО	Арбат	72.0	Чайхана "КИШМИШ"	ЧАЙХАНА "КИШМИШ"
967	Сезонное кафе	ул. Новый Арбат 22	ЦАО	Арбат	24.0	КОФЕ ХАУС ЭКСПРЕССО И КАПУЧИНО БАР	КОФЕ ХАУС. ЭСПРЕССО И КАПУЧИНО БАР
968	Сезонное кафе	ул. Новый Арбат 24	ЦАО	Арбат	80.0	МОЛЛИ ГВИННЗ"	МЕГ-Ф
969	Сезонное кафе	Подколокольный пер. 13 с. 1	ЦАО	Басманный	120.0	ФОБОС	ФОБОС
970	Сезонное кафе	ул. Новый Арбат 14 с. 1	ЦАО	Арбат	40.0	ФРАЙДИС	РОСИНТЕР РЕСТОРАНТС
971	Сезонное кафе	ул. Новый Арбат 14 с. 1	ЦАО	Арбат	33.0	Планета суши	РОСИНТЕР РЕСТОРАНТС
972	Сезонное кафе	Большой Кисловский пер. 6	ЦАО	Арбат	132.0	ХРАМ ЛУНЫ"	ХЭППИ ЧОЙС
973	Сезонное кафе	ул. Новый Арбат 36 с. 3	ЦАО	Арбат	150.0	КУПОЛ"	КОМХАС+
974	Сезонное кафе	Нижняя Сыромятническая ул. 10 с. 10	ЦАО	Басманный	50.0	-	ИНКА
975	Сезонное кафе	Покровский бульв. 16-18 с. 4-4А	ЦАО	Басманный	120.0	ДАЧА НА ПОКРОВКЕ	ТРАДИЦИЯ
976	Сезонное кафе	3-я Владимирская ул. 29	ВАО	Перово	101.0	ТАНУКИ	ЕНИСЕЙ
977	Сезонное кафе	ул. Новый Арбат 36/9	ЦАО	Арбат	200.0	ИФИОРИ	РЭЙ
978	Сезонное кафе	Авиамоторная ул. 41	ЮВАО	Лефортово	50.0	-	СУШКОВА НАТАЛЬЯ ЛЕОНИДОВНА
979	Сезонное кафе	Сущёвская ул. 19 с. 4	ЦАО	Тверской	30.0	Куклы Пистолеты	ДА-Консалтинг
980	Сезонное кафе	Лесная ул. 59 с. 1	ЦАО	Тверской	20.0	АРТ-КАФЕ	ТЕАТР "БУФФ"
981	Сезонное кафе	Большая Семёновская ул. 32 с. 3	ВАО	Соколиная гора	79.0	Япоша	Реста Север
