№ строки	Идентификатор	Кадастровый номер	Адрес	Площадь (кв.м)	Тип собственника	Аренда	Разрешение на использование
2150	25317404	77:02:0001011:73	ул Новгородская    (г Москва, ул Новгородская, вл 24, корпус 1)	15265.0	Субъект РФ - город Москва	Нет	эксплуатации здания школы
2151	25300123	77:09:0005005:103	ул Зорге    (г Москва, ул Зорге, вл 14, корпус 116)	1191.0	Субъект РФ - город Москва	Нет	ОСУЩЕСТВЛЕНИЯ УЧЕБНО-ВОСПИТАТЕЛЬНОЙ ДЕЯТЕЛЬНОСТИ
2152	25255149	77:09:0003021:153	ул Вучетича    (г Москва, ул Вучетича, вл 30, стр 1)	45852.0	Субъект РФ - город Москва	Нет	осуществления образовательной деятельности
2153	25298143	77:02:0008002:192	ул Декабристов    (г Москва, ул Декабристов, д 4, корпус 3)	1.1300000000000001	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ и обслуживания помещений мобилизационного назначения
2154	25298140	77:02:0008002:176	ш Алтуфьевское    (г Москва, ш Алтуфьевское, вл 18, корпус 1)	9138.0	Субъект РФ - город Москва	Нет	эксплуатации здания детского сада
2155	25318306	77:02:0025004:24	линия Северная 3-я    (г Москва, линия Северная 3-я, д 17)	2644.0	Субъект РФ - город Москва	Нет	ИСПОЛЬЗОВАНИЯ ТЕРРИТОРИИ И ЭКСПЛУАТАЦИИ здания дома культуры
2156	25318340	77:03:0001012:34	б-р Маршала Рокоссовского    (г Москва, бульвар Маршала Рокоссовского, вл 26)	4123.0	Субъект РФ - город Москва	Нет	эксплуатации здания детского сада и прилегающей территории
2157	25317223	77:02:0001017:34	ш Алтуфьевское    (г Москва, ш Алтуфьевское, д 91б)	9798.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ здания дошколного учреждения
2158	25299912	77:09:0002028:122	ул Дубнинская    (г Москва, ул Дубнинская, вл 14а)	2673.0	Субъект РФ - город Москва	Нет	осуществления медицинской деятельности
2159	25316359	77:01:0002007:52	ул Бахрушина    (г Москва, ул Бахрушина, вл 20)	8058.0	Субъект РФ - город Москва	Нет	для эксплуатации помещений в здании  и использования прилегающей территории под административные цели
2160	25316889	77:01:0004020:26	пер Средний Кондратьевский    (г Москва, пер Средний Кондратьевский, вл 10, стр 2)	200.0	Субъект РФ - город Москва	Да	эксплуатации центрального теплового пункта
2161	25316594	77:01:0003042:82	пр-кт Мира    (г Москва, пр-кт Мира, вл 14)	1080.0	Субъект РФ - город Москва	Нет	эксплуатации зданий историко-культурного назначения
2162	25315990	77:01:0001082:18	пер Малый Козловский    (г Москва, пер Малый Козловский, вл 3А, стр 1)	2301.0	Субъект РФ - город Москва	Нет	эксплуатации для эксплуатации здания под детский сад с благоустройством территории
2163	25317200	77:02:0002011:76	ул Пришвина    (г Москва, ул  Пришвина, вл 11а)	8709.0	Субъект РФ - город Москва	Нет	эксплуатации здания дошкольного учреждения
2164	25275826	77:06:0005002:66	ул Нагорная    (г Москва, ул Нагорная, вл 37, корпус 3)	6066.0	Субъект РФ - город Москва	Нет	для эксплуатации имущественного комплекса начальной школы - детского сада
2165	25276713	77:07:0012008:37	ш Очаковское    (г Москва, Очаковское шоссе, вл 9)	13590.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА № 799
2166	25257961	77:07:0015005:1243	ш Боровское    (г. Москва, Боровское ш., вл. 18, корп. 4)	11131.03	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов образования (1.2.7)
2167	25254829	77:07:0015003:329	пр-кт СОЛНЦЕВСКИЙ    (г Москва, пр-кт Солнцевский, вл 8)	2845.0	Субъект РФ - город Москва	Нет	ДЛЯ ЭКСПЛУАТАЦИИ ГОРОДСКОЙ ПОЛИКЛИНИКИ
2168	25260401	77:07:0008004:3	ул Беловежская    (г Москва, ул Беловежская, вл 45)	2706.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОЛИКЛИНИКИ
2169	25319122	77:04:0001003:25	пл Госпитальная    (г Москва, пл Госпитальная, вл 1/10)	9700.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ИСТОРИКО-КУЛЬТУРНОГО НАЗНАЧЕНИЯ
2170	25274547	77:04:0003008:99	ул ГУРЬЯНОВА    (г Москва, ул Гурьянова, вл 85)	4323.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
2171	25318846	77:03:0005003:72	ул 2-я Прядильная    (г. Москва, ул. 2-я Прядильная, вл. 3Б)	4971.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
2172	25322017	77:08:0002011:69	ул Барышиха    (г Москва, ул Барышиха, вл 12, корпус 2)	7569.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА № 2336
2173	25321717	77:07:0014009:97	ул 26-ти Бакинских Комиссаров    (г Москва, ул 26-ти Бакинских Комиссаров, вл 3, корпус 4)	21216.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ЦЕНТРА ДЕТСКОГО ТВОРЧЕСТВА "СОЗВЕЗДИЕ"
2174	25254472	77:07:0007002:131	ул Студенческая    (г Москва, ул Студенческая, вл 24, стр 1, 2)	7739.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ №665 (СТРОЕНИЕ 1), ПОД СКЛАДСКИЕ ЦЕЛИ (СТРОЕНИЕ 2)
2175	25260392	77:06:0009007:6	ул Ясногорская    (г Москва, ул Ясногорская, вл 3/А)	3500.0	Субъект РФ - город Москва	Нет	эксплуатации поликлиники
2176	25260370	77:07:0018002:8	ул ВАСИЛИЯ БОТЫЛЕВА    (г Москва, ул Василия Ботылева, ЗУ 07/77/00056 в составе УЧ 1947 перечня ЗУ существующей УДС от тупика у дома № 1 до границы с ЗУ 07/77/00058 (Василия Ботылева ул.), проходящей вблизи Обводное шоссе)	13041.86	Субъект РФ - город Москва	Нет	эксплуатации улично-дорожной сети
2177	25317775	77:02:0010007:24	ул Минусинская    (г Москва, ул Минусинская, вл 16, стр 1)	10710.0	Субъект РФ - город Москва	Нет	эксплуатации здания детского сада
2178	25347783	77:08:0008001:1000	(г. Москва, территория природно-исторического парка "Москворецкий" СЗАО г. Москвы)	74032.0	Субъект РФ - город Москва	Нет	природоохранные и эколого-просветительские цели
2179	25320452	77:05:0011009:34	ул Воронежская    (г Москва, Воронежская улица, д 44, корп 2)	9200.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
2180	25320090	77:05:0002001:26	ул Симоновский Вал    (г Москва, ул Симоновский Вал, вл 12А, стр 1)	1138.0	Субъект РФ - город Москва	Нет	эксплуатации детской музыкальной школы №40
2181	25320075	77:05:0001020:73	ш Варшавское    (г Москва, ш Варшавское, вл 19, стр 39)	163.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ СТРОЕНИЯ ПОЛИКЛИНИКИ
2182	25319803	77:04:0005004:11	ул Привольная    (г Москва, ул Привольная, вл 17, корпус 1)	17514.0	Субъект РФ - город Москва	Нет	эксплуатации здания школы
2183	25319526	77:04:0003008:65	ул Полбина    (г Москва, ул Полбина, вл 44, стр 1)	19200.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ ШКОЛЫ № 846
2184	25319211	77:03:0009004:65	ул Новокосинская    (г Москва, ул Новокосинская, вл 24Б)	3255.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОЛИКЛИНИКИ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
2185	25388589	77:05:0011003:145	проезд Шипиловский    (г Москва, проезд Шипиловский, вл 61, корпус 3)	8403.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ ДЕТСКОГО САДА С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
2186	25276865	77:07:0013005:94	ул Раменки    (г Москва, ул Раменки, вл 15, корпус 2)	18893.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ № 1119
2187	25276864	77:07:0013005:91	ул Раменки    (г Москва, ул Раменки, вл 13, корпус 2)	9562.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА № 1565
2188	25320638	77:05:0012002:79	проезд Задонский    (г Москва, Задонский проезд, вл 34, корпус 3)	21255.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
2189	25405066	77:01:0001008:42	ул Никольская    (г Москва, ул Никольская, вл 7-9, стр 1, 2, 3, 5, 6)	334.97	Субъект РФ - город Москва	Нет	эксплуатации зданий историко-культурного назначения
2190	25404993	77:01:0001044:32	пер Брюсов    (г Москва, пер Брюсов, вл 21, стр 4)	292.40000000000003	Субъект РФ - город Москва	Нет	эксплуатации административных зданий предназначенных для обеспечения деятельности органов государственной власти и управления
2191	25301348	77:01:0004019:1004	ул Ходынская    (г. Москва, ул. Ходынская, вл. 2, стр. 1,2,4-7,9-11,13,18,22, сооружение 3)	3400.0	Субъект РФ - город Москва	Нет	эксплуатации зданий и сооружений с целью производства хлебобулочной продукции
2192	25304352	77:01:0003008:4	туп Хомутовский    (г Москва, туп Хомутовский, вл 10, стр 1)	2254.0	Субъект РФ - город Москва	Нет	эксплуатации здания под детский сад с благоустройством территории, без права коммерческого использования
2193	25305678	77:10:0004005:5	мкр 3-Й    (АДРЕСНЫЕ ОРИЕНТИРЫ: 3-Й МИКРОРАЙОН, КОРПУС № 359)	1940.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ С ЦЕЛЬЮ ОРГАНИЗАЦИИ ОБРАЗОВАТЕЛЬНОГО ПРОЦЕССА ДЕТЕЙ И ЮНОШЕСТВА
2194	25304942	77:05:0011005:7	проезд Борисовский    (г Москва, проезд Борисовский, вл 40, корпус 3)	18621.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
2195	25302922	77:07:0018001:1002	ул Новорублевская    (г. Москва, ул. Новорублевская, вл. 1)	10914.27	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов образования (1.2.7)
2196	25254789	77:08:0002011:144	ул Барышиха    (г Москва, ул Барышиха, вл 2, стр 1)	659.0	Субъект РФ - город Москва	Да	ЭКСПЛУАТАЦИИ ЦТП № 159
2197	25254137	77:05:0001006:116	ул ХАВСКАЯ    (г Москва, ул Хавская, вл 19)	3639.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЙ ДЕТСКОГО САДА С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
2198	25254126	77:05:0004006:110	ул Академика Миллионщикова    (г Москва, ул Академика Миллионщикова, вл 1, стр. 1,2 ,3 ,4, 5, 6, 7, 8; вл. 3; вл. 3, стр. 2)	45865.0	Субъект РФ - город Москва	Нет	эксплуатации зданий и сооружений больницы
2199	25254432	77:06:0012000:379	ул 1-я Мелитопольская    (г Москва, ул 1-я Мелитопольская, вл 34)	7710.0	Субъект РФ - город Москва	Нет	эксплуатации имущественного комплекса детского сада без права  изменения функционального назначения
2200	25254768	77:07:0016000:191	ул Изваринская    (г Москва, ул Изваринская, вл 7)	9793.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОД УЧЕБНО-ВОСПИТАТЕЛЬНЫЕ ЦЕЛИ
2201	25254091	77:04:0005001:225	проезд Привольный    (г Москва, проезд Привольный, вл 21, соор 1)	57.0	Субъект РФ - город Москва	Да	ЭКСПЛУАТАЦИИ НАСОСНОЙ СТАНЦИИ ПОДКАЧКИ ХОЛОДНОЙ ВОДЫ
2202	25254090	77:04:0005001:220	ул Авиаконструктора Миля    (г Москва, ул Авиаконструктора Миля, вл 18, корпус 2)	13488.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ
2203	25276509	77:07:0004002:11	ул ЯРЦЕВСКАЯ    (г Москва, ул Ярцевская, вл 25)	654.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ КОНЕЧНОЙ СТАНЦИИ АВТОБУСОВ
2204	25215461	77:08:0008002:7	ул Маршала Катукова    (г. Москва, ул. Маршала Катукова, вл. 21, корп. 2)	18189.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ГИМНАЗИИ № 1519
2205	25214777	77:01:0003030:3	наб Семеновская    (г Москва, наб Семеновская, вл 5, стр 1)	6387.0	Субъект РФ - город Москва	Нет	эксплуатации здания под учебно-воспитательную деятельность и благоустройство территории
2206	25254409	77:05:0009003:110	ул МЕДЫНСКАЯ    (г Москва, ул Медынская, вл 12А)	8805.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩИХ ЗДАНИЯ, СТРОЕНИЙ И СООРУЖЕНИЙ ДЕТСКОГО САДА С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
2207	25257124	77:04:0004002:1009	пр-кт Волгоградский    (г. Москва, Волгоградский проспект, вл. 66-68)	27113.21	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов образования (1.2.7)
2208	25260313	77:08:0004009:7	ул Свободы    (г Москва, ул Свободы, вл 51, корпус 5)	5307.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА № 424
2209	25259986	77:04:0002015:4	ул Академика Скрябина    (г Москва, ул Академика Скрябина, вл 28, корпус 3)	7175.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
2210	25259623	77:01:0001069:4	пер Вознесенский    (г Москва, пер Вознесенский, вл 9, стр 3, 6, 7)	1150.0	Субъект РФ - город Москва	Нет	эксплуатации здания театра и благоустройства территории
2211	25257104	77:04:0004001:1013	б-р Волжский    (г. Москва, Волжский бульвар, вл. 34, корп. 1)	5291.18	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов образования (1.2.7).
2212	25394651	77:08:0005007:7	проезд 1-й Тушинский    (г Москва, проезд 1-й Тушинский, вл 13)	9329.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ
2213	25365847	77:06:0005013:33	ул Каховка    (г Москва, ул Каховка, вл 19, корпус 2)	8826.0	Субъект РФ - город Москва	Нет	эксплуатации имущественного комплекса школы без права изменения функционального назначения
2214	25367111	77:08:0005007:42	проезд Тушинский 1-й    (г Москва, проезд 1-й Тушинский, вл 23)	6870.0	Субъект РФ - город Москва	Нет	ПРОЕКТИРОВАНИЯ, СТРОИТЕЛЬСТВА И ПОСЛЕДУЮЩЕЙ ЭКСПЛУАТАЦИИ ЦЕНТРА КИНОЛОГИЧЕСКОЙ СЛУЖБЫ
2215	25387645	77:01:0006023:130	ул Воронцовская    (г Москва, ул Воронцовская, вл 7, стр 1,2)	1500.0	Субъект РФ - город Москва	Нет	эксплуатации зданий историко-культурного назначения
2216	25276237	77:06:0009010:23	ул Голубинская    (г Москва, ул Голубинская, вл 32, корпус 2)	8214.0	Субъект РФ - город Москва	Нет	эксплуатации имущественного комплекса  центра
2217	25272016	77:01:0005015:47	б-р Зубовский    (г. Москва, Зубовский бульвар, вл. 5, стр. 1)	9702.0	Субъект РФ - город Москва	Нет	эксплуатации зданий в учебно-воспитательных целях и благоустройства территории
2218	25271403	77:01:0003011:13	пер Денисовский    (г. Москва, Денисовский пер. вл. 23)	560.0	Субъект РФ - город Москва	Нет	для эксплуатации зданий историко-культурного назначения
2219	25271400	77:01:0003049:26	ул Щепкина    (г. Москва, ул. Щепкина, вл. 38, стр. 1)	5311.0	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов образования, науки, социального обеспечения, физической культуры и спорта, культуры, искусства
2220	25270794	77:01:0001033:17	пер Армянский    (г Москва, пер Армянский, вл 4, стр 2)	2819.0	Субъект РФ - город Москва	Нет	эксплуатации существующего здания
2221	25271415	77:01:0003002:18	пер 3-й Сыромятнический    (г Москва, пер 3-й Сыромятнический, вл 1, стр 1)	1897.4	Субъект РФ - город Москва	Нет	эксплуатации здания под поликлинику с благоустройством территории без права коммерческого использования
2222	25276228	77:06:0012014:15	ул Изюмская	221.0	Субъект РФ - город Москва	Нет	эксплуатации индивидуального жилого дома
2223	25276208	77:06:0008009:28	ул Академика Капицы    (г Москва, ул Академика Капицы, вл 11)	16592.0	Субъект РФ - город Москва	Нет	эксплуатации имущественного комплекса детского санатория без права изменения функционального назначения
2224	25304231	77:01:0004022:5	ул Малая Грузинская    (г Москва, ул Малая Грузинская, вл 16, стр 1)	3811.0	Субъект РФ - город Москва	Нет	эксплуатации здания и территории в учебно-воспитательных целях
2225	25305256	77:07:0016003:2	ул Интернациональная    (г Москва, ул Интернациональная, вл 10)	23180.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОД УЧЕБНО-ВОСПИТАТЕЛЬНЫЕ ЦЕЛИ
2226	25305253	77:07:0016001:7	ул 2-Я РЕЙСОВАЯ	53.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ТРАНСФОРМАТОРНЫХ ПОДСТАНЦИЙ
2227	25302889	77:09:0004010:1004	ул Юннатов    (г. Москва, ул. Юннатов, вл. 16А)	4372.0	Субъект РФ - город Москва	Нет	объекты размещения ветеринарных лабораторий, ветеринарных центров (1.2.17)
2228	25227392	77:01:0006027:45	пер Товарищеский    (г Москва, пер Товарищеский, вл 31, стр 1)	187.15	Субъект РФ - город Москва	Нет	эксплуатации зданий историко-культурного назначения
2229	25185764	77:05:0005002:50	ш Каширское    (г Москва, ш Каширское, вл 6, корпус 2)	4854.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
2230	25232654	77:09:0001028:16	пер 2-й Лихачевский    (г Москва, пер 2-й Лихачевский, вл 6)	2337.0	Субъект РФ - город Москва	Нет	РАЗМЕЩЕНИЯ И ПОСЛЕДУЮЩЕЙ ЭКСПЛУАТАЦИИ ВЕТЕРИНАРНОЙ СЛУЖБЫ
2231	25227090	77:01:0006014:29	пер Большой Строченовский    (г Москва, пер Большой Строченовский, вл 24, стр 2)	30.05	Субъект РФ - город Москва	Нет	эксплуатации зданий историко-культурного назначения
2232	25231486	77:07:0002001:31	ш Рублевское    (г Москва, ш Рублевское, вл 26, корпус 2)	3713.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ 2-ЭТАЖНОГО СЛУЖЕБНОГО ЗДАНИЯ, ИСПОЛЬЗУЕМОГО ДЛЯ РАЗМЕЩЕНИЯ ОТДЕЛА ВНУТРЕННИХ ДЕЛ РАЙОНА ФИЛИ-ДАВЫДКОВО (119 ОТДЕЛЕНИЯ МИЛИЦИИ)
2233	25230784	77:06:0003002:60	ул Ивана Бабушкина    (г Москва, ул Ивана Бабушкина, вл 12)	3572.0	Субъект РФ - город Москва	Нет	эксплуатации имущественного комплекса детского сада без права изменения функционального назначения
2234	25229553	77:04:0002002:31	проезд Орехово-Зуевский    (г Москва, проезд Орехово-Зуевский, вл 4)	7736.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ
2235	25214770	77:01:0005013:5	ул Россолимо    (г Москва, ул Россолимо, вл 10)	2066.0	Субъект РФ - город Москва	Нет	эксплуатации детского сада
2236	25215089	77:02:0004007:5	ул Полярная    (г Москва, ул  Полярная, вл 28)	1423.0	Субъект РФ - город Москва	Нет	использования территории и эксплуатации поликлиники
2237	25254780	77:07:0015003:138	пр-кт Солнцевский    (г Москва, пр-кт Солнцевский, вл 8 А)	8305.0	Субъект РФ - город Москва	Нет	ДАЛЬНЕЙШЕЙ ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА ПОД УЧЕБНО-ВОСПИТАТЕЛЬНЫЕ ЦЕЛИ
2238	25254779	77:07:0015003:137	пр-кт Солнцевский    (г Москва, пр-кт Солнцевский, вл 16, "В")	9400.0	Субъект РФ - город Москва	Нет	ДАЛЬНЕЙШЕЙ ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА ПОД УЧЕБНО-ВОСПИТАТЕЛЬНЫЕ ЦЕЛИ
2239	25275248	77:05:0004012:37	наб Коломенская    (г Москва, наб Коломенская, вл 14, корпус 2)	3622.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ПОЛИКЛИНИКИ С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
2240	25273972	77:03:0005018:10	ш Щелковское    (г Москва, Щелковское шоссе, вл 82, корпус 1)	9933.0	Субъект РФ - город Москва	Нет	эксплуатации здания детского сада и прилегающей территории
2241	25277101	77:08:0004010:11	ул Свободы    (г Москва, ул Свободы, вл 42, корп 2)	13000.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ГИМНАЗИИ № 1551
2242	25253633	77:04:0002001:147	ул 1-я Карачаровская    (г. Москва, ул. 1-я Карачаровская, вл. 15)	4382.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ УЧЕБНОГО КОМПЛЕКСА
2243	25260170	77:04:0006000:6	ул 2-я Вольская    (г Москва, поселок Некрасовка, ул 2-я Вольская, вл 11)	1883.0	Субъект РФ - город Москва	Да	ЭКСПЛУАТАЦИИ РЕГУЛИРУЮЩЕГО ВОДОПРОВОДНОГО УЗЛА
2244	25259489	77:01:0004046:7	наб Шелепихинская    (г Москва, наб Шелепихинская, вл 12, стр 1)	3315.0	Субъект РФ - город Москва	Нет	эксплуатации здания под учебно-воспитательную деятельность
2245	25394261	77:05:0001016:3	ш Загородное    (г Москва, ш Загородное, вл 2)	256789.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩИХ ЛЕЧЕБНЫХ КОРПУСОВ БОЛЬНИЦЫ
2246	25366361	77:07:0005006:66	ул Олеко Дундича    (г Москва, ул Олеко Дундича, вл 11)	14271.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЙ РОДИЛЬНОГО ДОМА
2247	25365681	77:06:0004005:11	ул Цюрупы	9796.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО КОМПЛЕКСА БЕЗ ИЗМЕНЕНИЯ ФУНКЦИОНАЛЬНОГО НАЗНАЧЕНИЯ
2248	25393952	77:01:0003041:8	пер Скорняжный    (г Москва, пер Скорняжный, вл 4)	3726.0	Субъект РФ - город Москва	Нет	эксплуатации  прочих учреждений народного образования; эксплуатации здания под учебно-воспитательную деятельность
2249	25394194	77:02:0007001:4	ш Алтуфьевское    (г Москва, ш Алтуфьевское, д 40в)	11212.0	Субъект РФ - город Москва	Нет	эксплуатации здания дошкольного учреждения
2250	25316746	77:01:0003051:35	пр-кт Мира    (г Москва, пр-кт Мира, вл 48, стр 2)	130.0	Субъект РФ - город Москва	Нет	эксплуатации прочих административно-управленческих учреждений и общественных организаций
2251	25316457	77:01:0003013:10	туп Кондрашевский    (г Москва, туп Кондрашевский, вл 3 А, стр 1)	5100.0	Субъект РФ - город Москва	Нет	эксплуатации части здания под учебные цели с благоустройством территории
2252	25316736	77:01:0004023:39	ул Малая Грузинская    (г Москва, ул Малая Грузинская, вл 15, стр 1, 2, 5, 7, 8,15)	5350.0	Субъект РФ - город Москва	Нет	эксплуатации существующих зданий музея и благоустройства территории
2253	25305567	77:09:0002009:3	ул Учинская    (г Москва, ул Учинская, вл 10)	8276.0	Субъект РФ - город Москва	Нет	эксплуатации прочих земель учреждений народного образования
2254	25304237	77:01:0001012:4	пл Старая    (г Москва, пл Старая, вл 10/4, стр 1)	3942.0	Субъект РФ - город Москва	Нет	эксплуатации существующего здания, предназначенного для обеспечения деятельности органов государственной власти и управления
2255	25304852	77:02:0019010:3	ул Касаткина    (г Москва, ул Касаткина, вл 7, стр 1)	3265.0	Субъект РФ - город Москва	Нет	эксплуатации здания поликлиники
2256	25304522	77:01:0006005:1	ул Пятницкая    (г Москва, ул Пятницкая, вл 64)	1306.0	Субъект РФ - город Москва	Нет	эксплуатации зданий историко-культурного назначения
2257	25272910	77:02:0013011:47	ул Палехская    (г. Москва, ул. Палехская, вл. 8)	25577.0	Субъект РФ - город Москва	Нет	эксплуатации здания школы
2258	25272908	77:02:0017002:37	ул Малая Ботаническая    (г Москва, ул Малая Ботаническая, вл 18а)	4147.0	Субъект РФ - город Москва	Нет	эксплуатации здания детского сада
2259	25272606	77:02:0009001:55	ш Алтуфьевское    (г Москва, ш Алтуфьевское, вл 12А)	9452.0	Субъект РФ - город Москва	Нет	эксплуатации зданий детского сада
2260	25278418	77:10:0001005:88	мкр 10-Й    (г Москва, 10-й микрорайон г Зеленограда, корпус 1016)	15000.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЙ ШКОЛЫ С ЦЕЛЬЮ ОРГАНИЗАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО ПРОЦЕССА ДЕТЕЙ
2261	25360495	77:01:0001044:33	ул Тверская    (г Москва, ул Тверская, вл 13, стр 1, вл 11, стр 1А)	8075.0	Субъект РФ - город Москва	Нет	эксплуатации административных зданий и благоустройства территории, предназначенных для обеспечения органов власти и управления
2262	25360571	77:01:0001026:56	пер Колпачный    (г Москва, Колпачный переулок, вл 4)	168.79	Субъект РФ - город Москва	Нет	эксплуатации зданий историко-культурного назначения
2263	25228050	77:02:0023005:15	ул Константинова    (г Москва, ул Константинова, вл 20, стр 1)	4991.0	Субъект РФ - город Москва	Нет	эксплуатации здания гимназии
2264	25183986	77:03:0002018:23	ул Уссурийская    (г Москва, ул Уссурийская, вл 1, корпус 5 А)	235.0	Субъект РФ - город Москва	Да	ЭКСПЛУАТАЦИИ ЦЕНТРАЛЬНОГО ТЕПЛОВОГО ПУНКТА (АБ.№61/55)
2265	25181814	77:01:0002017:62	пер Черниговский    (г Москва, пер Черниговский, вл 9/13, стр 2, 3)	2896.0	Субъект РФ - город Москва	Нет	эксплуатации зданий историко-культурного назначения
2266	25181793	77:01:0002006:82	ул Новокузнецкая    (г Москва, ул Новокузнецкая, вл 32, стр 3 а)	200.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ здания в административных целях
2267	25181763	77:01:0002025:14	ул Гончарная    (г Москва, ул Гончарная, вл 35, стр 1, 2)	2249.0	Субъект РФ - город Москва	Нет	эксплуатации существующих зданий храма
