№ строки	Идентификатор	Кадастровый номер	Адрес	Площадь (кв.м)	Тип собственника	Аренда	Разрешение на использование
30	25500063	77:07:0008003:72	ул Красных Зорь    (г. Москва, ул. Красных Зорь, вл. 61)	20389.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ ПОД УЧЕБНО-ВОСПИТАТЕЛЬНЫЕ ЦЕЛИ
31	25500801	77:08:0010006:12	ул Живописная    (г Москва, ул Живописная, вл 2, корпус 2)	10083.0	Субъект РФ - город Москва	Нет	эксплуатации здания школы №143
32	25500089	77:07:0008004:33	ул Вяземская    (г Москва, ул Вяземская, вл 14-А)	225.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ЦЕНТРАЛЬНОГО ТЕПЛОВОГО ПУНКТА № 2/51 РТС №2 "КУНЦЕВСКАЯ"
33	25500110	77:07:0008004:66	ш Сколковское    (г Москва, ш Сколковское, вл 12, стр 1)	8729.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОД УЧЕБНО-ВОСПИТАТЕЛЬНЫЕ ЦЕЛИ
34	25499866	77:07:0004008:37	ул Ивана Франко    (г Москва, улица Ивана Франко, вл 14)	9500.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ КИНОТЕАТРА
35	25501831	77:09:0005012:52	ш Хорошевское    (г Москва, ш Хорошевское, вл 21)	9218.0	Субъект РФ - город Москва	Нет	эксплуатации общеобразовательной школы
36	25499806	77:06:0009002:25	ул Голубинская    (г Москва, ул Голубинская, вл 7, корпус 3)	8405.0	Субъект РФ - город Москва	Нет	эксплуатации имущественного комплекса детского сада без права изменения функционального назначения
37	25499742	77:06:0012000:52	ул Новооскольская    (г Москва, ул Новооскольская, вл 13-А)	14175.0	Субъект РФ - город Москва	Нет	эксплуатации водопроводного узла до начала капитального строительства  в районе поселка Бутово
38	25498252	77:04:0005001:62	б-р Хвалынский    (г Москва, б-р Хвалынский, вл 4, корпус 3)	8840.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ДЕТСКОГО САДА
39	25521857	77:02:0022006:115	ул Цандера    (г Москва, ул Цандера, вл 3)	9186.0	Субъект РФ - город Москва	Нет	эксплуатации здания средней общеобразовательной школы
40	25521808	77:03:0005024:121	ул Челябинская    (г Москва, ул Челябинская, вл 9)	17036.0	Субъект РФ - город Москва	Нет	эксплуатации здания и территории школы
41	25501614	77:09:0004008:68	ул Планетная    (г Москва, ул Планетная, вл 43, стр 1)	1277.0	Субъект РФ - город Москва	Нет	осуществления учебно-воспитательной деятельности
42	25497773	77:03:0007006:83	ул Старый Гай    (г Москва, ул Старый Гай, вл 10А, стр 1, 2)	5924.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ВЕТЕРИНАРНОЙ КЛИНИКИ
43	25498029	77:04:0002011:57	ул Ташкентская    (г Москва, ул Ташкентская, вл 23, корпус 4, стр 1)	7743.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ
44	25498251	77:04:0005001:61	ул Пронская    (г Москва, ул Пронская, вл 5, корпус 2)	7988.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДОШКОЛЬНОГО УЧРЕЖДЕНИЯ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
45	25498024	77:04:0002001:46	ул Басовская    (г. Москва, ул. Басовская, вл. 7)	10876.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ОБЩЕОБРАЗОВАТЕЛЬНОЙ ШКОЛЫ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
46	25498012	77:04:0003008:37	ул Гурьянова    (г Москва, ул Гурьянова, вл 45)	10089.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДОШКОЛЬНОГО УЧРЕЖДЕНИЯ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
47	25498063	77:04:0004024:62	ул Верхние Поля    (г Москва, ул Верхние Поля, вл 30)	12045.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ
48	25497911	77:04:0002016:19	ул ШУМИЛОВА    (г Москва, ул Шумилова, вл 9)	19532.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ
49	25523103	77:08:0002001:233	ул ЦЕНТРАЛЬНАЯ УЛИЦА ДЕРЕВНЯ ПЕНЯГИНО    (г Москва, деревня Пенягино, ул Центральная, вл 24)	6192.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА № 40
50	25523168	77:07:0015003:172	ул Щорса    (г Москва, ул Щорса, вл 4, корпус 4)	10650.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА ПОД УЧЕБНО-ВОСПИТАТЕЛЬНЫЕ ЦЕЛИ
51	25498273	77:04:0004021:89	кв-л Капотни 5-й    (г Москва, кв-л 5-й Капотни, вл 28, стр 1)	16664.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ
52	25501559	77:09:0005002:60	ул Сальвадора Альенде    (г Москва, ул Сальвадора Альенде, вл 6)	5654.0	Субъект РФ - город Москва	Нет	ОСУЩЕСТВЛЕНИЯ ОБРАЗОВАТЕЛЬНОЙ ДЕЯТЕЛЬНОСТИ
53	25500876	77:08:0009026:24	ул Маршала Мерецкова    (г Москва, ул Маршала Мерецкова, вл 1)	1142.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ КОЖНО-ВЕНЕРОЛОГИЧЕСКОГО ДИСПАНСЕРА
54	25500823	77:08:0010007:27	ул МАРШАЛА ТУХАЧЕВСКОГО    (г Москва, ул Маршала Тухачевского, вл 43, корпус 2)	4797.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
55	25521373	77:01:0004008:109	ул Новослободская    (г Москва, ул Новослободская, вл 51-53, стр 1)	3449.0	Субъект РФ - город Москва	Нет	эксплуатации здания в учебно-воспитательных целях, территории без права коммерческого использования и застройки
56	25502010	77:10:0002003:21	мкр 12-Й    (г Москва, 12-й микрорайон г Зеленограда, корпус 1205)	10731.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЙ С ЦЕЛЬЮ ОРГАНИЗАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО ПРОЦЕССА ДЕТЕЙ
57	25501307	77:09:0002020:19	ш Коровинское    (г Москва, ш Коровинское, вл 14А)	11308.0	Субъект РФ - город Москва	Нет	осуществления учебно-воспитательной деятельности
58	25501002	77:09:0001014:41	ул Флотская	3097.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ прочих учреждений народного образования
59	25500981	77:09:0001013:51	ул Флотская    (г Москва, ул Флотская, вл 11)	14588.0	Субъект РФ - город Москва	Нет	эксплуатации общеобразовательной школы
60	25500989	77:08:0011001:21	ул Берзарина    (г Москва, ул Берзарина, вл 24)	7948.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ № 77
61	25526068	77:07:0014010:1006	ул Академика Анохина    (г. Москва, ул. Академика Анохина, вл. 52)	6611.26	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов образования (1.2.7)
62	25526047	77:07:0014005:1012	пр-кт Мичуринский    (г. Москва, ул. Мичуринский просп., Олимпийская дер., вл. 8, к. 2)	9129.41	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов образования (1.2.7)
63	25526150	77:07:0004007:1000	ул Кунцевская    (г. Москва, ул. Кунцевская, вл. 7, к. 3)	4086.0	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов образования (1.2.7)
