№ строки	Название	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
70	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1438	119517 г. Москва, ул. Матвеевская, д.20, к.2	Бюджетное	Общеобразовательное учреждение	Центр образования	441-72-48	http://co1438.mskzapad.ru
71	Государственное бюджетное образовательнoе учреждение города Москвы центр образования № 1495	111674, г.Москва, ул. Святоозерская, д. 17	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 721-52-04; (499) 721-52-05	http://www.co1495.edusite.ru
72	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1678 "Восточное Дегунино"	127591, г. Москва ул. Дубнинская, д. 46, кор. 2	Бюджетное	Общеобразовательное учреждение	Центр образования	480-35-33	http://schools.keldysh.ru/co1678/index.html
73	Государственное бюджетное образовательное учреждение города Москвы центр образования № 57 "Пятьдесят седьмая школа"	119019 г. Москва, М.Знаменский пер.,д.7/10, стр.5	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 691-85-72	http://sch57.msk.ru/
74	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1865	125252 г.Москва, ул. Куусинена, д.13	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 943-26-15	http://1865.msk.ru/
75	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1925	111673, г. Москва, ул. Новокосинская, д.13 А	Бюджетное	Общеобразовательное учреждение	Центр образования	702-66-76	http://co1925.ru/
76	Государственное бюджетное образовательное учреждение города Москвы центр образования № 686 "Класс- Центр"	125130, г. Москва улица Большая Академическая, дом 11А	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 767-08-76	http://klass-center.ru/
77	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1296	127591, г. Москва, Керамический проезд, дом 55, корпус 3	Бюджетное	Общеобразовательное учреждение	Центр образования	900-08-52	http://1296.ru
78	Государственное бюджетное образовательное учреждение города Москвы центр образования № 109	117513 г. Москва, ул. Академика Бакулева, д. 20	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 737-48-58	http://sc109.ru/content/index.htm
79	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1487	127540, г. Москва, Дубниская ул., д. 18-А	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 481-35-00	http://ec1487.ru
80	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1948 "Лингвист-М"	117420, г.Москва, ул. Новочеремушкинская, дом 64, корпус 2	Бюджетное	Общеобразовательное учреждение	Центр образования	121-54-11	http://sch1948.ru
81	Государственное бюджетное образовательное учреждение города Москвы центр образования № 771	127411, г. Москва, ул. Софьи Ковалевской, д. 8 А	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 484-90-88	http://schs771.mskobr.ru
82	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1481	125635, г. Москва ул. Ангарская, д. 22-а	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 906-84-00; (499) 906-88-00; (499) 906-86-77; (499) 906-86-66	http://www.co1481.edu.ru
83	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1601	127220 г. Москва, ул. Нижняя Масловка, д. 16	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 685-08-15	http://co1601.ru
84	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1409	125252, г. Москва, Ходынский бульвар, д.7	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 740-52-13	http://grand-school.ru
85	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1474	125475 г. Москва, ул. Клинская, д.22	Бюджетное	Общеобразовательное учреждение	Центр образования	451-22-11	http://www.co1474.com/
86	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1631	127411, г. Москва, Дмитровское шоссе, дом 137А	Бюджетное	Общеобразовательное учреждение	Центр образования	483-03-74	http://co1631
87	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1457	109145, г.Москва, Хвалынский бульвар, д. 4, корпус 4	Бюджетное	Общеобразовательное учреждение	Центр образования	705-52-11	http://couv1457.mskobr.ru
88	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1497	121309  г.Москва, ул.Барклая, дом 15,корп. 3	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 142-41-26; (499) 142-40-32	http://ds152.mskzapad.ru
89	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1419	127540 г. Москва, Керамический ,д. 47 А	Бюджетное	Общеобразовательное учреждение	Центр образования	900-69-00	http://ec1419.ru/
90	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1424	125167 г. Москва, Ленинградский пр-кт, д.46	Бюджетное	Общеобразовательное учреждение	Центр образования	612-52-41	http://www.co1424.sao.mskobr.ru
91	Автономная некоммерческая организация Центр образования «Гармония»	121374 Ращупкина улица, д. 3 корпус 2	Автономное	Общеобразовательное учреждение	Центр образования	(495) 440-19-92	
92	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1499	129128 г. Москва, ул. Ростокинская, д.3	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 181-04-47	http//co1499.svao.mskobr.ru
