№ строки	Название	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
13	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Юго-Запад"	119313 Ленинский проспект, д. 89/2	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	(499) 132-89-31	http://www.center-uz.ru
14	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 749	123317 г. Москва,Стрельбищенский пер., д.11 А	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	256-12-53	http://www.dskvp749.mskobr.ru
15	Государственное бюджетное образовательное учреждение города Москвы центр развития творчества детей и юношества "Можайский"	121596 г. Москва, ул. Говорова, д. 7	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(499) 726-79-98	http://www.crtd-mozhaiskii.mskzapad.ru
16	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы Центр внешкольной работы "На Сумском"	117208 г. Москва,Сумской пр. д.6 Б	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр внешкольной работы	(499) 725-50-52	http://nasumskom.ru
17	Государственное бюджетное образовательное учреждение города Москвы детская школа искусств "Родник"	115477 г. Москва, Кантемировская ул. 15-2	Бюджетное	Образовательное учреждение дополнительного образования детей	Детская школа искусств	(495) 397-73-73	http://rodnikart.ru/
18	Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции "Родничок"	121353 Сколковское шоссе, д.32, корп.1	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-педагогической реабилитации и коррекции	735-34-60	http://rodnichok.mskzapad.ru
19	Государственное бюджетное образовательное учреждение города Москвы Центр психолого-педагогической реабилитации и коррекции "Солнечный луч"	109429, г. Москва, Капотня, 1-й квартал, д, 15	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-педагогической реабилитации и коррекции	(495) 657-46-32	-
20	Государственное бюджетное образовательное учреждение города Москвы Центр диагностики и консультирования "РОСТ"	123308, г. Москва, Новохорошевский пр., д. 12	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр диагностики и консультирования	(499) 946-33-50	http://centr-rost.ru
21	Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции "Строгино"	123181, г. Москва, ул. Кулакова д. 2, к. 2	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-педагогической реабилитации и коррекции	(495) 942-99-36; (495) 757-13-53	http://cpprik.mskobr.ru
22	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Бутово"	117042, Москва ул. Адмирала Лазарева, дом 68, корп. 3	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	(495) 714-76-72	http://www.centrbutovo.ru
23	Государственное бюджетное образовательное учреждение города Москвы центр лечебной педагогики и дифференцированного обучения "Наш дом"	117593, г.Москва, ул. Рокотова, д. 4, корп. 4	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр лечебной педагогики и дифференцированного обучения	426-75-00	http://nashdom.mosuzedu.ru
24	Государственное бюджетное образовательное учреждение города Москвы центр лечебной педагогики и дифференцированного обучения "На Королева"	129515, г. Москва, ул. Академика Королева, д.3	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр лечебной педагогики и дифференцированного обучения	(495) 602-42-61; (495) 602-44-75	http://clpido.org.ru/
25	Государственное бюджетное образовательное учреждение города Москвы центр развития творчества детей и юношества "Киевский"	121170, г.Москва, ул. Поклонная, д. 16	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр развития творчества детей и юношества	(499)148-04-59	-
26	Государственное бюджетное образовательное учреждение города Москвы центр диагностики и консультирования "Коньково"	117342, г.Москва, улица Генерала Антонова, дом 5 А	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр диагностики и консультирования	334-49-97	http://cdkonkovo.mosuzedu.ru
27	Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 28	119618 город Москва, ул. 50 лет Октября, дом 25, корп.1	Бюджетное	Дошкольное образовательное учреждение	Детский сад комбинированного вида	435-87-52	http://dskv3.mskzapad.ru
28	Государственное бюджетное образовательное учреждение города Москвы Московский детско-юношеский центр "Резерв"	111024, г. Москва, Шоссе Энтузиастов, д. 16	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	361-00-24	http://www.mduc.ru
29	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1243	119333, г. Москва, ул. Фотиевой, дом 8	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	137-35-75	http://www.goukv-1243.ru/
30	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Фили"	121601, г.Москва, Филевский бульвар, д. 17, корп. А	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	738-50-84	http://fili.mskzapad.ru
31	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Митино"	125464, г. Москва, Пятницкое шоссе, д. 16, к.5	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	794-72-10	http://cpmss.moskobr.ru
32	Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции "Ирида"	127204, г. Москва, линия  Северная 7-ая , д. 13, стр. 1	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-педагогической реабилитации и коррекции	(499) 975-69-81; (499) 975-69-87; (499) 975-69-89	
33	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Открытый Мир"	127349, г. Москва, Алтуфьевского шоссе, д. 98, к. 2	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	(495) 601-27-22; (495) 601-27-55; (495) 601-28-01	http://open-world.edu.ru
34	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Зюзино"	117303, город Москва, ул. Болотниковская, дом 31	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	(499)794-24-70,(499) 794-24-70	http://cpmss-zuzino.ru/
35	Государственное бюджетное образовательное учреждение города Москвы центр детского творчества "Алексеевский"	129626, г. Москва, ул. Новоалексеевская, д. 8	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр детского творчества	687-75-67	http://www.cdtalekseevskiy.ru
36	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Феникс"	129515, г. Москва, ул. Академика Королева, дом 5	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	683-13-06	http://cpmssfenix.com
37	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Поддержка"	127055, г. Москва, улица  Новосущевская, дом 20	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	(499) 973-33-85	
38	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Юго-Восток"	109390, г. Москва, ул. Чистова,  д. 3Б	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	(499) 176-91-05	http://www.goucpmss1.ru
39	Государственное бюджетное образовательное учреждение города Москвы центр внешкольной работы "Аргус"	117447, г. Москва, Большая Черемушкинская улица, дом 7А	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(499) 127-57-02	http://www.cvrargus.ru
40	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Радинец"	129344, г. Москва, ул. Радужная, д. 5	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	(499) 184-18-90; (499) 184-30-09	http://radinec.msk.ru
41	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2196	124683, г. Москва, Зеленоград, корп. 1511	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	(499) 717-36-02; (499) 717-37-42	http://d2196.zouo.ru
