Key	KBKFinancing_Id	ActualDate	Val	Id
9328	1800	20110101000000	 	0fba437566234a6f9669ae265a4fa4ad
11158	1800	20150101000000	1172934,7	a2d934c3558b4efb9328de86a4ab951e
12598	3636	20120101000000	4028,6	245ad2d654034d328c69ec9a2ba05fb7
3239	3076	20130101000000	325914,7	5b10404256bf4fd8b8ac09382d509ba2
4904	3076	20110101000000	 	090a96a5ab464f069850355408cf0b18
5311	3076	20120101000000	290997,6	a27b512092f84eaba457411484fec110
7640	3076	20150101000000	421475,0	527e9fb9cfb649d9985b7f82d1aee8f8
8985	3076	20160101000000	446480,3	50655eaf7ddb410c9422a5e419b4b11d
10337	3076	20140101000000	344556,5	8429b8831aab458bb58ac9680582bcab
6412	2570	20120101000000	7149,8	170424dcc6754c8eaf8c5dd642969799
6689	2570	20110101000000	 	8c41a183991d421ca714657656dcc7fa
7244	2570	20160101000000	16515,0	cd481204eca242109933751dcc9899b4
9789	2570	20130101000000	14201,4	3d446da4c08c443aae3bba7a45494ad1
10440	2570	20140101000000	14979,6	ea52544b1e7945569c41cc9678aabb86
10494	2570	20150101000000	15728,6	847cee2913ef416baa1dcddf9c54f1d7
3352	1795	20120101000000	1376,3	75a375f6e556425ba9ac0be39d0ed4bf
4427	2300	20150101000000	392773,3	a26b91e2202e41dea49928aa6c8e2f74
4940	2300	20120101000000	320118,4	5a6781c2c323443a991f3682e6461cbc
6694	2300	20110101000000	 	f36bb9bc7dc04b0e94ef658d494821a6
9266	2300	20140101000000	363679,0	b218842fe62b47d386d7ac96c2c5b8ef
11566	2300	20130101000000	336739,9	c9ec870677ba44bc96bae91fa2fe8b06
11915	2300	20160101000000	424195,1	1e47ffc7973a436e8408f2853397c928
10237	1652	20120101000000	1313,2	bbc332230711429dbee0c68c3f10f696
10442	1891	20120101000000	4465,2	f9bf780fa2d640ea85fdccab4c1da93d
4901	1640	20150101000000	246217,7	18695521d860432ab8aa353daa99da5c
8138	1640	20130101000000	180432,2	99d0f9ef7f5a46abad548e240cd8c1ed
8926	1640	20120101000000	209333,4	445870aa5bdd4a95834ea44fb4345a60
9375	1640	20160101000000	235651,6	291a572f9f7b425db031af67a8ed61ce
10463	1640	20140101000000	191131,8	35516110bd004db080d0cd2877f12643
10926	1640	20110101000000	 	48dccfd31e34407089ecd8ee02c61a1c
11862	3302	20120101000000	4,8	1fcdb8cccad34b35b71af15dcbf354e4
21445	21446	20120101000000	 	f36c8631ff7c4b058d53e2bbd7da5622
9327	1845	20120101000000	1863,3	f66ba7b593054730bc82ae1eb8386c99
3168	2453	20120101000000	529138,0	96450fbbedf745a4a36506abd7a500c0
4398	2453	20110101000000	 	0e898ecf5fd3411da52c27de6d638631
4472	2453	20150101000000	682834,2	b0e47c9b47a645ecb56b29ea7f622a86
4815	2453	20160101000000	737460,9	bbe761f5c7fc4e86981732dbe8c1c222
5574	2453	20130101000000	571602,1	6a15796b4e3b4729a37247c30ee2f369
6089	2453	20140101000000	617456,6	2eba7007dd294056a3d3557c104595df
8352	1720	20120101000000	276,6	7f9377c5e98644c990d095192aba3b48
7631	2135	20120101000000	32,9	c50f3da176ae49f3aa707f39eda1770c
2995	2981	20160101000000	144397,5	d2283ff2faba4786b54c027738af3193
3134	2981	20120101000000	106678,6	ccf5586c8efc4b1bb80d05c569e7b5ef
4967	2981	20110101000000	 	5bed4e94d8c847718ba4374bb018beae
6982	2981	20150101000000	133700,3	294ddbe271dc499aa2406dda945141af
